Date,High,Low,Open,Close,Volume,Adj Close
2020-03-19,46.0,40.0,40.0,45.25,7000,45.0798225402832
2020-03-20,46.0099983215332,45.0,45.0099983215332,45.0,3600,44.83076477050781
2020-03-23,42.0,39.97999954223633,42.0,40.0,11900,39.84956741333008
2020-03-24,40.0,39.0,40.0,40.0,77800,39.84956741333008
