,AAPL,AEP,AMZN,AEE,AJG,CFG,CHD,CMA,CNC,FDX,HOG,IPG
AAPL,1.0,0.576816284060991,0.47816542212267055,0.5629843200066633,0.6070655126042527,0.11157429738955246,-0.34567863165883955,-0.2534008079732325,0.7035179418072078,-0.3254774453645103,-0.08432402501737508,0.11155511328203736
AEP,0.576816284060991,1.0,-0.04876153186882675,0.8629653839125184,0.8945428357188825,0.63522638593589,0.34928754597979605,0.353147007455509,0.22608534427029484,0.2053748557188975,0.519680690801078,0.654378786226065
AMZN,0.47816542212267055,-0.04876153186882675,1.0,0.20977197085538155,-0.0068166129108292225,-0.37662695338047897,0.008745203857167982,-0.46144945077684546,0.6073281453917561,-0.21635778263436134,-0.48076287158595254,-0.25650026536836135
AEE,0.5629843200066633,0.8629653839125184,0.20977197085538155,1.0,0.8105474772043089,0.29785773046092995,0.3723646900894781,0.02799442467443624,0.269496151202575,-0.03441995244300564,0.18257588831399627,0.39426436910880913
AJG,0.6070655126042527,0.8945428357188825,-0.0068166129108292225,0.8105474772043089,1.0,0.6325742480829679,0.2440876980747596,0.3455965922861271,0.2964373185061105,0.23283706719490646,0.48350892044023447,0.6894988354450913
CFG,0.11157429738955246,0.63522638593589,-0.37662695338047897,0.29785773046092995,0.6325742480829679,1.0,0.3083607923628746,0.9174307111387311,-0.030052208669770666,0.7824365263632257,0.9468755242463112,0.9489772905550067
CHD,-0.34567863165883955,0.34928754597979605,0.008745203857167982,0.3723646900894781,0.2440876980747596,0.3083607923628746,1.0,0.3655321948923085,-0.31272094282935475,0.4438787935460198,0.3296392917335843,0.35157842753461943
CMA,-0.2534008079732325,0.353147007455509,-0.46144945077684546,0.02799442467443624,0.3455965922861271,0.9174307111387311,0.3655321948923085,1.0,-0.22714331092177917,0.8849161632048682,0.9510832053607818,0.8853504090719044
CNC,0.7035179418072078,0.22608534427029484,0.6073281453917561,0.269496151202575,0.2964373185061105,-0.030052208669770666,-0.31272094282935475,-0.22714331092177917,1.0,-0.2116783057331794,-0.22060230333758768,0.04225934280742851
FDX,-0.3254774453645103,0.2053748557188975,-0.21635778263436134,-0.03441995244300564,0.23283706719490646,0.7824365263632257,0.4438787935460198,0.8849161632048682,-0.2116783057331794,1.0,0.8053852538805413,0.7823180023000869
HOG,-0.08432402501737508,0.519680690801078,-0.48076287158595254,0.18257588831399627,0.48350892044023447,0.9468755242463112,0.3296392917335843,0.9510832053607818,-0.22060230333758768,0.8053852538805413,1.0,0.9051798992753606
IPG,0.11155511328203736,0.654378786226065,-0.25650026536836135,0.39426436910880913,0.6894988354450913,0.9489772905550067,0.35157842753461943,0.8853504090719044,0.04225934280742851,0.7823180023000869,0.9051798992753606,1.0
